,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000000001,333,238
ENSMUSG00000000028,147,139
ENSMUSG00000000056,72,75
ENSMUSG00000000058,33,13
ENSMUSG00000000078,28,26
ENSMUSG00000000085,111,112
ENSMUSG00000000088,253,147
ENSMUSG00000000127,55,34
ENSMUSG00000000131,328,247
ENSMUSG00000000134,48,29
ENSMUSG00000000148,60,59
ENSMUSG00000000149,111,130
ENSMUSG00000000159,1,2
ENSMUSG00000000167,2,2
ENSMUSG00000000168,104,105
ENSMUSG00000000171,630,481
ENSMUSG00000000184,677,388
ENSMUSG00000000194,61,33
ENSMUSG00000000244,352,317
ENSMUSG00000000253,76,25
ENSMUSG00000000275,95,78
ENSMUSG00000000276,33,15
ENSMUSG00000000278,70,30
ENSMUSG00000000282,34,38
ENSMUSG00000000290,94,139
ENSMUSG00000000295,34,20
ENSMUSG00000000301,13,30
ENSMUSG00000000325,4,0
ENSMUSG00000000326,227,157
ENSMUSG00000000339,59,62
ENSMUSG00000000340,51,37
ENSMUSG00000000346,566,502
ENSMUSG00000000355,156,105
ENSMUSG00000000374,71,99
ENSMUSG00000000378,109,78
ENSMUSG00000000384,129,137
ENSMUSG00000000399,228,200
ENSMUSG00000000409,7,11
ENSMUSG00000000420,369,350
ENSMUSG00000000439,87,52
ENSMUSG00000000440,0,1
ENSMUSG00000000441,106,78
ENSMUSG00000000486,12,15
ENSMUSG00000000531,8,3
ENSMUSG00000000532,23,13
ENSMUSG00000000538,44,20
ENSMUSG00000000552,14,6
ENSMUSG00000000555,107,92
ENSMUSG00000000561,117,95
ENSMUSG00000000563,636,451
ENSMUSG00000000568,361,383
ENSMUSG00000000581,141,101
ENSMUSG00000000594,1011,864
ENSMUSG00000000600,167,134
ENSMUSG00000000605,84,83
ENSMUSG00000000628,57,56
ENSMUSG00000000631,118,116
ENSMUSG00000000673,89,54
ENSMUSG00000000682,157,120
ENSMUSG00000000686,9,0
ENSMUSG00000000708,55,43
ENSMUSG00000000711,22,21
ENSMUSG00000000732,6,5
ENSMUSG00000000738,88,91
ENSMUSG00000000740,172,133
ENSMUSG00000000743,108,54
ENSMUSG00000000751,315,286
ENSMUSG00000000753,82,69
ENSMUSG00000000759,131,113
ENSMUSG00000000776,22,24
ENSMUSG00000000782,4,0
ENSMUSG00000000787,522,438
ENSMUSG00000000791,11,8
ENSMUSG00000000804,32,62
ENSMUSG00000000811,17,17
ENSMUSG00000000823,43,32
ENSMUSG00000000826,208,174
ENSMUSG00000000827,196,147
ENSMUSG00000000838,141,99
ENSMUSG00000000876,23,17
ENSMUSG00000000881,1,4
ENSMUSG00000000884,17,7
ENSMUSG00000000901,30,29
ENSMUSG00000000902,236,185
ENSMUSG00000000903,10,4
ENSMUSG00000000915,23,31
ENSMUSG00000000916,28,28
ENSMUSG00000000934,18,8
ENSMUSG00000000938,97,76
ENSMUSG00000000957,59,104
ENSMUSG00000000958,0,6
ENSMUSG00000000959,178,185
ENSMUSG00000000976,85,89
ENSMUSG00000000982,63,46
ENSMUSG00000001016,332,243
ENSMUSG00000001017,202,170
ENSMUSG00000001018,88,86
ENSMUSG00000001020,33,24
ENSMUSG00000001025,377,253
ENSMUSG00000001029,168,88
ENSMUSG00000001034,35,15
ENSMUSG00000001039,21,10
ENSMUSG00000001052,226,128
ENSMUSG00000001053,15,22
ENSMUSG00000001054,61,65
ENSMUSG00000001056,393,262
ENSMUSG00000001062,24,12
ENSMUSG00000001065,32,14
ENSMUSG00000001082,180,156
ENSMUSG00000001089,140,107
ENSMUSG00000001098,28,18
ENSMUSG00000001100,165,193
ENSMUSG00000001105,106,66
ENSMUSG00000001120,1,8
ENSMUSG00000001123,1631,1289
ENSMUSG00000001127,155,114
ENSMUSG00000001128,241,175
ENSMUSG00000001134,8,8
ENSMUSG00000001138,97,62
ENSMUSG00000001143,114,78
ENSMUSG00000001150,165,122
ENSMUSG00000001151,178,177
ENSMUSG00000001156,43,42
ENSMUSG00000001157,66,82
ENSMUSG00000001158,89,62
ENSMUSG00000001166,8,2
ENSMUSG00000001173,92,100
ENSMUSG00000001175,808,705
ENSMUSG00000001211,7,17
ENSMUSG00000001227,15,12
ENSMUSG00000001228,385,314
ENSMUSG00000001229,127,128
ENSMUSG00000001248,148,166
ENSMUSG00000001270,5,7
ENSMUSG00000001280,254,283
ENSMUSG00000001281,7,13
ENSMUSG00000001285,87,62
ENSMUSG00000001288,22,17
ENSMUSG00000001289,192,159
ENSMUSG00000001300,7,2
ENSMUSG00000001305,137,95
ENSMUSG00000001313,1,1
ENSMUSG00000001323,21,14
ENSMUSG00000001366,181,118
ENSMUSG00000001376,74,65
ENSMUSG00000001380,190,123
ENSMUSG00000001383,155,137
ENSMUSG00000001403,322,240
ENSMUSG00000001415,153,82
ENSMUSG00000001416,1060,838
ENSMUSG00000001418,117,110
ENSMUSG00000001419,173,176
ENSMUSG00000001420,3,3
ENSMUSG00000001424,539,475
ENSMUSG00000001435,3,6
ENSMUSG00000001436,223,150
ENSMUSG00000001440,514,506
ENSMUSG00000001441,141,110
ENSMUSG00000001445,111,88
ENSMUSG00000001467,189,155
ENSMUSG00000001472,464,400
ENSMUSG00000001473,42,44
ENSMUSG00000001482,58,55
ENSMUSG00000001504,93,74
ENSMUSG00000001517,83,123
ENSMUSG00000001518,50,26
ENSMUSG00000001521,3,2
ENSMUSG00000001524,98,58
ENSMUSG00000001525,3327,3088
ENSMUSG00000001542,10,15
ENSMUSG00000001552,59,49
ENSMUSG00000001569,114,81
ENSMUSG00000001576,199,194
ENSMUSG00000001583,4,0
ENSMUSG00000001588,326,254
ENSMUSG00000001627,140,93
ENSMUSG00000001630,10,1
ENSMUSG00000001632,128,123
ENSMUSG00000001642,66,41
ENSMUSG00000001665,13,11
ENSMUSG00000001666,39,22
ENSMUSG00000001674,80,47
ENSMUSG00000001687,230,168
ENSMUSG00000001700,31,25
ENSMUSG00000001707,158,147
ENSMUSG00000001729,392,323
ENSMUSG00000001739,1,2
ENSMUSG00000001741,32,67
ENSMUSG00000001750,112,58
ENSMUSG00000001751,39,43
ENSMUSG00000001755,81,64
ENSMUSG00000001767,74,57
ENSMUSG00000001774,247,231
ENSMUSG00000001783,453,303
ENSMUSG00000001785,181,149
ENSMUSG00000001786,63,53
ENSMUSG00000001794,192,197
ENSMUSG00000001829,127,77
ENSMUSG00000001833,419,326
ENSMUSG00000001844,127,74
ENSMUSG00000001847,402,297
ENSMUSG00000001855,295,316
ENSMUSG00000001865,3,2
ENSMUSG00000001891,78,62
ENSMUSG00000001909,213,170
ENSMUSG00000001910,255,205
ENSMUSG00000001911,29,30
