,ko,target,log2FoldChange
20361,Ikzf1_Plate15,ENSMUSG00000000184,0.31178756140181896
20363,Ikzf1_Plate15,ENSMUSG00000000253,0.428546405976178
20364,Ikzf1_Plate15,ENSMUSG00000000275,0.214566270576755
20365,Ikzf1_Plate15,ENSMUSG00000000325,1.28215733058881
20367,Ikzf1_Plate15,ENSMUSG00000000355,-0.253932378028672
20369,Ikzf1_Plate15,ENSMUSG00000000409,0.519016511419773
20370,Ikzf1_Plate15,ENSMUSG00000000486,-0.699099005350723
20371,Ikzf1_Plate15,ENSMUSG00000000555,0.37786272151091704
20373,Ikzf1_Plate15,ENSMUSG00000000594,-0.374926947032052
20374,Ikzf1_Plate15,ENSMUSG00000000628,0.527090350066686
20375,Ikzf1_Plate15,ENSMUSG00000000631,0.423740641896631
20376,Ikzf1_Plate15,ENSMUSG00000000682,-0.5467929579841511
20378,Ikzf1_Plate15,ENSMUSG00000000753,0.5656884961791949
20380,Ikzf1_Plate15,ENSMUSG00000000782,2.12857349375332
20386,Ikzf1_Plate15,ENSMUSG00000001029,0.278996746101623
20389,Ikzf1_Plate15,ENSMUSG00000001065,-0.404698889060914
20390,Ikzf1_Plate15,ENSMUSG00000001089,0.44906154655500896
20391,Ikzf1_Plate15,ENSMUSG00000001123,-0.33511452843037604
20392,Ikzf1_Plate15,ENSMUSG00000001128,-0.729105854280917
20393,Ikzf1_Plate15,ENSMUSG00000001157,-0.3099414714889289
20394,Ikzf1_Plate15,ENSMUSG00000001173,0.454506923341057
20396,Ikzf1_Plate15,ENSMUSG00000001211,0.6496325682999581
20397,Ikzf1_Plate15,ENSMUSG00000001228,-0.202361962266272
20399,Ikzf1_Plate15,ENSMUSG00000001281,-1.19051957257895
20401,Ikzf1_Plate15,ENSMUSG00000001313,0.814322154642097
20402,Ikzf1_Plate15,ENSMUSG00000001366,-0.26201928645226197
20404,Ikzf1_Plate15,ENSMUSG00000001435,0.7890809311046619
20405,Ikzf1_Plate15,ENSMUSG00000001441,0.347832051023236
20406,Ikzf1_Plate15,ENSMUSG00000001473,0.9578363592264109
20407,Ikzf1_Plate15,ENSMUSG00000001521,2.50921609894534
20408,Ikzf1_Plate15,ENSMUSG00000001552,0.37770100944400603
20409,Ikzf1_Plate15,ENSMUSG00000001700,-0.474258915832581
20410,Ikzf1_Plate15,ENSMUSG00000001750,0.31496755345793204
20418,Ikzf1_Plate15,ENSMUSG00000002059,0.846568930921623
20421,Ikzf1_Plate15,ENSMUSG00000002204,-0.26578446168207104
20422,Ikzf1_Plate15,ENSMUSG00000002289,-0.54563059314581
20426,Ikzf1_Plate15,ENSMUSG00000002603,-0.213080354387923
20429,Ikzf1_Plate15,ENSMUSG00000002799,0.446628322194939
20430,Ikzf1_Plate15,ENSMUSG00000002870,-0.273977004143965
20432,Ikzf1_Plate15,ENSMUSG00000002981,-0.262717370521328
20433,Ikzf1_Plate15,ENSMUSG00000003032,-2.25795375057073
20439,Ikzf1_Plate15,ENSMUSG00000003134,1.2561924424876
20441,Ikzf1_Plate15,ENSMUSG00000003283,-0.2897423500518789
20442,Ikzf1_Plate15,ENSMUSG00000003355,0.5787890910199921
20443,Ikzf1_Plate15,ENSMUSG00000003420,0.5022423180927511
20446,Ikzf1_Plate15,ENSMUSG00000003546,0.231303411449158
20447,Ikzf1_Plate15,ENSMUSG00000003573,0.618492083672406
20450,Ikzf1_Plate15,ENSMUSG00000003808,-0.20985912643498897
20452,Ikzf1_Plate15,ENSMUSG00000003824,-0.206518401901525
20453,Ikzf1_Plate15,ENSMUSG00000003847,0.41054756037663603
20454,Ikzf1_Plate15,ENSMUSG00000003882,-0.970048620615303
20456,Ikzf1_Plate15,ENSMUSG00000003955,0.221024469210888
20457,Ikzf1_Plate15,ENSMUSG00000003992,-0.22676596425601603
20458,Ikzf1_Plate15,ENSMUSG00000004018,-0.29927719195080393
20460,Ikzf1_Plate15,ENSMUSG00000004085,0.343992881898337
20464,Ikzf1_Plate15,ENSMUSG00000004113,1.60744732531231
20467,Ikzf1_Plate15,ENSMUSG00000004266,0.319138285577502
20472,Ikzf1_Plate15,ENSMUSG00000004451,0.21875592657776102
20474,Ikzf1_Plate15,ENSMUSG00000004535,-0.262978969127373
20475,Ikzf1_Plate15,ENSMUSG00000004568,-0.22379670068407997
20476,Ikzf1_Plate15,ENSMUSG00000004612,-0.36757700146949607
20477,Ikzf1_Plate15,ENSMUSG00000004642,-0.234976153256519
20478,Ikzf1_Plate15,ENSMUSG00000004661,0.5026868959194489
20479,Ikzf1_Plate15,ENSMUSG00000004677,0.202604131038371
20481,Ikzf1_Plate15,ENSMUSG00000004709,-0.513652966260262
20483,Ikzf1_Plate15,ENSMUSG00000004849,0.21658119693275799
20485,Ikzf1_Plate15,ENSMUSG00000004936,0.54072812931452
20486,Ikzf1_Plate15,ENSMUSG00000004952,-0.585028748953735
20488,Ikzf1_Plate15,ENSMUSG00000005034,-0.21607768850995002
20489,Ikzf1_Plate15,ENSMUSG00000005057,0.36846606289799294
20490,Ikzf1_Plate15,ENSMUSG00000005087,0.257254360463656
20491,Ikzf1_Plate15,ENSMUSG00000005125,0.42722957666928707
20496,Ikzf1_Plate15,ENSMUSG00000005410,-0.206303957484657
20497,Ikzf1_Plate15,ENSMUSG00000005417,0.38854367834653497
20498,Ikzf1_Plate15,ENSMUSG00000005447,0.309839105579646
20501,Ikzf1_Plate15,ENSMUSG00000005534,0.394350731624468
20505,Ikzf1_Plate15,ENSMUSG00000005682,0.29953444156548
20508,Ikzf1_Plate15,ENSMUSG00000005800,-1.04887050757273
20512,Ikzf1_Plate15,ENSMUSG00000005949,0.5815952920564511
20513,Ikzf1_Plate15,ENSMUSG00000005968,-0.7896094629116851
20521,Ikzf1_Plate15,ENSMUSG00000006344,1.2220465536063
20522,Ikzf1_Plate15,ENSMUSG00000006356,3.56425353942743
20523,Ikzf1_Plate15,ENSMUSG00000006360,-0.7288656892829649
20527,Ikzf1_Plate15,ENSMUSG00000006494,1.3835330680740903
20529,Ikzf1_Plate15,ENSMUSG00000006585,-0.231556063464493
20530,Ikzf1_Plate15,ENSMUSG00000006611,0.7798782004517328
20533,Ikzf1_Plate15,ENSMUSG00000006782,-0.243288795543494
20535,Ikzf1_Plate15,ENSMUSG00000007480,-0.8581245463797471
20537,Ikzf1_Plate15,ENSMUSG00000007655,1.4995611734499699
20538,Ikzf1_Plate15,ENSMUSG00000007659,0.33945272191755493
20542,Ikzf1_Plate15,ENSMUSG00000007867,2.6378614912502
20543,Ikzf1_Plate15,ENSMUSG00000007908,-0.3446872703123561
20544,Ikzf1_Plate15,ENSMUSG00000008036,0.261581058059397
20545,Ikzf1_Plate15,ENSMUSG00000008090,-0.9735555809352991
20546,Ikzf1_Plate15,ENSMUSG00000008318,-0.31567447927861897
20549,Ikzf1_Plate15,ENSMUSG00000008855,0.253231295675356
20550,Ikzf1_Plate15,ENSMUSG00000009350,0.205785680790623
20551,Ikzf1_Plate15,ENSMUSG00000009376,0.975771695889777
20552,Ikzf1_Plate15,ENSMUSG00000009418,1.50420704665277
20554,Ikzf1_Plate15,ENSMUSG00000009585,-0.291316119097273
20555,Ikzf1_Plate15,ENSMUSG00000009614,1.14568481057853
20558,Ikzf1_Plate15,ENSMUSG00000010663,0.45890794015880293
20560,Ikzf1_Plate15,ENSMUSG00000010830,0.8800177260808091
20561,Ikzf1_Plate15,ENSMUSG00000011114,0.23552086876786998
20563,Ikzf1_Plate15,ENSMUSG00000011263,0.745566725492979
20565,Ikzf1_Plate15,ENSMUSG00000011831,0.632904845259793
20567,Ikzf1_Plate15,ENSMUSG00000012428,1.03924714163931
20568,Ikzf1_Plate15,ENSMUSG00000012519,-0.27317465337895697
20569,Ikzf1_Plate15,ENSMUSG00000013033,-0.379119538777617
20575,Ikzf1_Plate15,ENSMUSG00000014303,0.661611034558968
20576,Ikzf1_Plate15,ENSMUSG00000014353,0.346052211086651
20578,Ikzf1_Plate15,ENSMUSG00000014551,0.20130513210129802
20580,Ikzf1_Plate15,ENSMUSG00000014767,-0.259590043557466
20582,Ikzf1_Plate15,ENSMUSG00000014778,0.548035296840959
20584,Ikzf1_Plate15,ENSMUSG00000014956,-0.256240361887603
20585,Ikzf1_Plate15,ENSMUSG00000015143,1.4671138235107197
20588,Ikzf1_Plate15,ENSMUSG00000015305,1.9094805873721101
20590,Ikzf1_Plate15,ENSMUSG00000015357,-0.24534669237561102
20591,Ikzf1_Plate15,ENSMUSG00000015568,4.67200935894583
20595,Ikzf1_Plate15,ENSMUSG00000015790,0.21935766386518
20599,Ikzf1_Plate15,ENSMUSG00000015937,-0.30455694900757896
20602,Ikzf1_Plate15,ENSMUSG00000016024,0.941028534448085
20603,Ikzf1_Plate15,ENSMUSG00000016087,0.390299914903771
20604,Ikzf1_Plate15,ENSMUSG00000016206,-0.228437448662016
20605,Ikzf1_Plate15,ENSMUSG00000016253,-0.20117112544253501
20608,Ikzf1_Plate15,ENSMUSG00000016487,0.525584739731025
20613,Ikzf1_Plate15,ENSMUSG00000017002,0.4024045428407171
20619,Ikzf1_Plate15,ENSMUSG00000017390,1.82195213702934
20620,Ikzf1_Plate15,ENSMUSG00000017493,1.0673195054618299
20621,Ikzf1_Plate15,ENSMUSG00000017697,-0.29466644204997605
20624,Ikzf1_Plate15,ENSMUSG00000017774,0.300383508782224
20625,Ikzf1_Plate15,ENSMUSG00000017830,0.49518046644813596
20626,Ikzf1_Plate15,ENSMUSG00000017831,-0.21543390083316397
20632,Ikzf1_Plate15,ENSMUSG00000018363,0.3786068730102561
20634,Ikzf1_Plate15,ENSMUSG00000018398,0.991486318189562
20635,Ikzf1_Plate15,ENSMUSG00000018401,0.33533986478394895
20636,Ikzf1_Plate15,ENSMUSG00000018411,0.7784105557076859
20638,Ikzf1_Plate15,ENSMUSG00000018507,-0.353614882862951
20641,Ikzf1_Plate15,ENSMUSG00000018570,-0.5397435871148879
20643,Ikzf1_Plate15,ENSMUSG00000018654,0.286256105813584
20645,Ikzf1_Plate15,ENSMUSG00000018774,0.891532227364109
20646,Ikzf1_Plate15,ENSMUSG00000018819,1.5172503517655
20647,Ikzf1_Plate15,ENSMUSG00000018821,0.5499081021539339
20649,Ikzf1_Plate15,ENSMUSG00000018909,0.484145352450516
20650,Ikzf1_Plate15,ENSMUSG00000018999,-0.23515748178351997
20652,Ikzf1_Plate15,ENSMUSG00000019087,-0.245192971491138
20659,Ikzf1_Plate15,ENSMUSG00000019214,-0.40224063365107393
20661,Ikzf1_Plate15,ENSMUSG00000019301,-0.7596373989125641
20664,Ikzf1_Plate15,ENSMUSG00000019461,-0.238846059393057
20665,Ikzf1_Plate15,ENSMUSG00000019487,0.387597399562821
20667,Ikzf1_Plate15,ENSMUSG00000019768,0.245763165895396
20669,Ikzf1_Plate15,ENSMUSG00000019790,0.5403612269801671
20687,Ikzf1_Plate15,ENSMUSG00000020029,0.244543430978137
20692,Ikzf1_Plate15,ENSMUSG00000020092,1.38362353542139
20694,Ikzf1_Plate15,ENSMUSG00000020101,0.694466742581457
20696,Ikzf1_Plate15,ENSMUSG00000020125,2.42686364180932
20697,Ikzf1_Plate15,ENSMUSG00000020150,1.19857435392804
20699,Ikzf1_Plate15,ENSMUSG00000020186,0.9294594132544329
20701,Ikzf1_Plate15,ENSMUSG00000020198,0.285166538908979
20702,Ikzf1_Plate15,ENSMUSG00000020220,0.31721249634062
20703,Ikzf1_Plate15,ENSMUSG00000020260,0.268783214123488
20706,Ikzf1_Plate15,ENSMUSG00000020275,-0.23637960466800698
20708,Ikzf1_Plate15,ENSMUSG00000020290,-0.224836078200728
20709,Ikzf1_Plate15,ENSMUSG00000020300,0.5133502797174411
20713,Ikzf1_Plate15,ENSMUSG00000020326,-0.20440107585902698
20714,Ikzf1_Plate15,ENSMUSG00000020328,-0.200486007697751
20716,Ikzf1_Plate15,ENSMUSG00000020346,-0.20513383950135897
20721,Ikzf1_Plate15,ENSMUSG00000020385,-0.26613630842783803
20725,Ikzf1_Plate15,ENSMUSG00000020459,0.26153384426348397
20728,Ikzf1_Plate15,ENSMUSG00000020482,-0.24269247841058803
20731,Ikzf1_Plate15,ENSMUSG00000020536,0.27620138772977504
20732,Ikzf1_Plate15,ENSMUSG00000020538,0.243196066617935
20733,Ikzf1_Plate15,ENSMUSG00000020541,0.6587916251155501
20735,Ikzf1_Plate15,ENSMUSG00000020572,0.237253523797693
20736,Ikzf1_Plate15,ENSMUSG00000020577,-0.37269852016076094
20737,Ikzf1_Plate15,ENSMUSG00000020589,-0.27829778146801504
20738,Ikzf1_Plate15,ENSMUSG00000020592,-0.249229140905876
20739,Ikzf1_Plate15,ENSMUSG00000020598,1.71220892621496
20741,Ikzf1_Plate15,ENSMUSG00000020635,1.39994896478784
20743,Ikzf1_Plate15,ENSMUSG00000020644,1.95513456045946
20746,Ikzf1_Plate15,ENSMUSG00000020689,0.48667602592871395
20748,Ikzf1_Plate15,ENSMUSG00000020716,0.40571951790060995
20749,Ikzf1_Plate15,ENSMUSG00000020717,-0.506307409052429
20750,Ikzf1_Plate15,ENSMUSG00000020719,-0.212702555936811
20752,Ikzf1_Plate15,ENSMUSG00000020723,1.5150306618532698
20753,Ikzf1_Plate15,ENSMUSG00000020732,-0.7891480928347661
20757,Ikzf1_Plate15,ENSMUSG00000020787,-0.40125845568334495
20760,Ikzf1_Plate15,ENSMUSG00000020798,-0.40835835970615
20761,Ikzf1_Plate15,ENSMUSG00000020827,0.525699735384921
