,ko,target,log2FoldChange
23015,noB_Plate15,ENSMUSG00000000085,-0.41415793305842297
23016,noB_Plate15,ENSMUSG00000000127,-0.45498195438525796
23017,noB_Plate15,ENSMUSG00000000184,0.8431244640151558
23018,noB_Plate15,ENSMUSG00000000278,-0.792853683573655
23019,noB_Plate15,ENSMUSG00000000290,-0.44252341503571796
23022,noB_Plate15,ENSMUSG00000000486,-1.3561554746762299
23024,noB_Plate15,ENSMUSG00000000673,0.556352994152493
23025,noB_Plate15,ENSMUSG00000000682,0.5483547076454329
23028,noB_Plate15,ENSMUSG00000000916,0.324811359452635
23029,noB_Plate15,ENSMUSG00000000938,-0.9095726739439699
23030,noB_Plate15,ENSMUSG00000000957,0.7610062498153521
23031,noB_Plate15,ENSMUSG00000001020,1.29674295107757
23032,noB_Plate15,ENSMUSG00000001025,0.513873544832503
23033,noB_Plate15,ENSMUSG00000001123,-0.616581570061364
23034,noB_Plate15,ENSMUSG00000001128,0.7532005755250091
23036,noB_Plate15,ENSMUSG00000001173,-0.516071178215577
23037,noB_Plate15,ENSMUSG00000001248,-0.337435592083167
23038,noB_Plate15,ENSMUSG00000001281,1.2913172633674
23040,noB_Plate15,ENSMUSG00000001366,-0.650369947326571
23042,noB_Plate15,ENSMUSG00000001418,-0.401402616964338
23043,noB_Plate15,ENSMUSG00000001419,0.795703975265639
23044,noB_Plate15,ENSMUSG00000001424,-0.24278566706213797
23046,noB_Plate15,ENSMUSG00000001467,-0.5454135730304679
23047,noB_Plate15,ENSMUSG00000001552,-0.531989008404147
23048,noB_Plate15,ENSMUSG00000001588,-0.44484154029272993
23049,noB_Plate15,ENSMUSG00000001630,-1.49960959637521
23050,noB_Plate15,ENSMUSG00000001700,-0.6685652008603129
23051,noB_Plate15,ENSMUSG00000001739,1.85372215240342
23053,noB_Plate15,ENSMUSG00000001750,0.46636792738310906
23057,noB_Plate15,ENSMUSG00000001918,0.225418629612233
23058,noB_Plate15,ENSMUSG00000001942,-0.394079928100677
23059,noB_Plate15,ENSMUSG00000001986,0.398744624089647
23060,noB_Plate15,ENSMUSG00000002104,-0.6524446591726079
23061,noB_Plate15,ENSMUSG00000002107,0.30594787868410805
23062,noB_Plate15,ENSMUSG00000002227,-0.49212692845708794
23063,noB_Plate15,ENSMUSG00000002257,0.312270396593894
23065,noB_Plate15,ENSMUSG00000002342,-0.297608066832912
23066,noB_Plate15,ENSMUSG00000002409,-0.978400137107985
23067,noB_Plate15,ENSMUSG00000002504,-1.25006853556061
23068,noB_Plate15,ENSMUSG00000002603,-0.33912948067634197
23069,noB_Plate15,ENSMUSG00000002718,0.252661722755301
23072,noB_Plate15,ENSMUSG00000002897,0.6567445784426279
23074,noB_Plate15,ENSMUSG00000003199,-0.262387540391805
23075,noB_Plate15,ENSMUSG00000003200,-0.600845150619495
23076,noB_Plate15,ENSMUSG00000003206,-0.999795716995875
23078,noB_Plate15,ENSMUSG00000003234,-0.321580796458184
23079,noB_Plate15,ENSMUSG00000003269,-0.324115456175703
23080,noB_Plate15,ENSMUSG00000003283,-0.8941434232162521
23081,noB_Plate15,ENSMUSG00000003363,-0.5566323016324289
23083,noB_Plate15,ENSMUSG00000003420,-0.8739294908255809
23084,noB_Plate15,ENSMUSG00000003458,-0.4286662857695471
23085,noB_Plate15,ENSMUSG00000003500,-0.4113101097905739
23086,noB_Plate15,ENSMUSG00000003518,-0.6757851907836441
23087,noB_Plate15,ENSMUSG00000003528,-0.505923555696169
