,target,log2FoldChange
1,ENSMUSG00000000384,-0.258588391579196
2,ENSMUSG00000000440,1.46191028166753
3,ENSMUSG00000000486,0.57559315233636
5,ENSMUSG00000000682,0.539680551827887
6,ENSMUSG00000000708,0.319752897366523
8,ENSMUSG00000000901,1.7838015282423898
9,ENSMUSG00000000903,2.4632020374635095
10,ENSMUSG00000001025,0.46755370972103105
12,ENSMUSG00000001128,-0.24331309259672002
13,ENSMUSG00000001366,-0.252827476788414
14,ENSMUSG00000001424,-0.238034312928512
15,ENSMUSG00000001436,-0.22104522736152898
16,ENSMUSG00000001482,-0.328811921437227
17,ENSMUSG00000001552,0.35024165143198305
18,ENSMUSG00000001632,-0.215558360872522
21,ENSMUSG00000001918,-0.28292023675711303
24,ENSMUSG00000001995,1.29744090205075
25,ENSMUSG00000002020,-1.1442773697679
30,ENSMUSG00000002797,-0.879975505000035
31,ENSMUSG00000002799,0.7943327198625809
32,ENSMUSG00000002944,4.32591182337809
33,ENSMUSG00000002997,-0.30854939746361104
35,ENSMUSG00000003379,1.95812318307605
36,ENSMUSG00000003437,-0.204131809344203
37,ENSMUSG00000003500,0.503890511888621
40,ENSMUSG00000003812,-0.217029850868757
41,ENSMUSG00000003814,-0.22289605047868402
42,ENSMUSG00000003865,-0.22504951017401004
43,ENSMUSG00000003882,2.31243040308379
44,ENSMUSG00000003949,-0.8741442162402471
45,ENSMUSG00000003992,0.20311307089947397
47,ENSMUSG00000004113,1.6156745116466102
49,ENSMUSG00000004270,-0.23736619436483997
50,ENSMUSG00000004319,0.37534782094326896
54,ENSMUSG00000004709,0.21578981086410298
56,ENSMUSG00000004846,-0.43175158025175703
57,ENSMUSG00000004952,0.530625437365423
62,ENSMUSG00000005501,0.26879527958979
63,ENSMUSG00000005514,-0.29873796776030603
64,ENSMUSG00000005583,0.336156944001768
65,ENSMUSG00000005609,0.5830509383439959
67,ENSMUSG00000005611,2.38236107731116
68,ENSMUSG00000005615,-0.316916238510526
69,ENSMUSG00000005672,-0.689986031715894
70,ENSMUSG00000005800,-0.9021285858303809
71,ENSMUSG00000005899,-0.21001030656458602
72,ENSMUSG00000006169,-0.306340860425058
73,ENSMUSG00000006273,0.36157334776303707
74,ENSMUSG00000006289,0.282087087998455
75,ENSMUSG00000006356,1.6466288474471997
76,ENSMUSG00000006360,0.913730798584998
78,ENSMUSG00000006585,-0.21903481932887803
79,ENSMUSG00000006717,0.3653062734154529
80,ENSMUSG00000006731,-0.25765790962775303
82,ENSMUSG00000007039,0.47390887667821796
83,ENSMUSG00000007480,-0.757333037985637
84,ENSMUSG00000007655,-0.6353700072414871
85,ENSMUSG00000007833,-0.22539371136516698
87,ENSMUSG00000008604,-0.22699149127786897
88,ENSMUSG00000009076,0.49302030037048794
90,ENSMUSG00000009350,-0.613290924551525
91,ENSMUSG00000009376,-0.8158097228381959
92,ENSMUSG00000009378,1.1013623231747
93,ENSMUSG00000009628,1.89508173916805
94,ENSMUSG00000009733,0.64535982601214
95,ENSMUSG00000010048,-0.21331436040455698
98,ENSMUSG00000010517,-0.200498723205594
99,ENSMUSG00000011148,-0.260827887016081
100,ENSMUSG00000012428,1.9040880410757601
101,ENSMUSG00000012519,-0.269789496301297
102,ENSMUSG00000012640,0.342476462563107
103,ENSMUSG00000012819,2.13552973112046
104,ENSMUSG00000013629,-0.210890506204994
105,ENSMUSG00000014030,5.26738437237917
108,ENSMUSG00000014592,0.299341345899252
109,ENSMUSG00000014763,0.21040530742007502
110,ENSMUSG00000014769,0.283824507855546
112,ENSMUSG00000014959,-0.22063575025890697
113,ENSMUSG00000015134,1.98076592684804
115,ENSMUSG00000015243,0.9547525564562959
116,ENSMUSG00000015488,0.474754351509585
117,ENSMUSG00000015605,-0.317780970021097
118,ENSMUSG00000015619,0.46724723901391496
120,ENSMUSG00000015944,1.33606121943716
121,ENSMUSG00000015970,-1.7162252020454898
122,ENSMUSG00000016024,-0.6969071816858721
124,ENSMUSG00000016239,-0.920974374483667
126,ENSMUSG00000016344,0.318465983551631
127,ENSMUSG00000016528,-0.332447349012292
128,ENSMUSG00000016756,2.45048199170593
129,ENSMUSG00000017009,1.82731284106502
131,ENSMUSG00000017386,0.40901798883813106
132,ENSMUSG00000017493,-0.3651172944669
133,ENSMUSG00000017664,-0.201532582449505
134,ENSMUSG00000017670,-0.251532458105119
136,ENSMUSG00000017765,-0.457527694935029
137,ENSMUSG00000017861,-0.274837409166055
138,ENSMUSG00000018076,0.433112273063363
143,ENSMUSG00000018593,2.79835322964405
145,ENSMUSG00000018774,-0.788392703040343
146,ENSMUSG00000018819,0.68846436421598
147,ENSMUSG00000018999,-0.48502934036265394
148,ENSMUSG00000019027,0.7479303410879491
151,ENSMUSG00000019301,-1.1901425648889
152,ENSMUSG00000019302,-0.326051071291201
153,ENSMUSG00000019478,1.15623858919415
155,ENSMUSG00000019699,-0.309801624370108
156,ENSMUSG00000019790,-0.22153896801441897
157,ENSMUSG00000019818,0.259222500352406
158,ENSMUSG00000019843,0.401906015397475
160,ENSMUSG00000019978,0.605800783308236
162,ENSMUSG00000019990,0.7436360930958299
163,ENSMUSG00000020007,0.611949538775309
164,ENSMUSG00000020009,0.224639851900534
165,ENSMUSG00000020024,0.20792195985545397
166,ENSMUSG00000020120,-0.22097661572835997
167,ENSMUSG00000020183,1.1034321997515901
169,ENSMUSG00000020334,-0.652679357832393
173,ENSMUSG00000020439,0.300147352951797
175,ENSMUSG00000020473,-0.531925903135285
178,ENSMUSG00000020592,0.40424154417863795
180,ENSMUSG00000020623,0.6668899900734531
182,ENSMUSG00000020644,1.10829187754127
185,ENSMUSG00000020689,-0.47497431983484606
186,ENSMUSG00000020695,0.939751540059973
187,ENSMUSG00000020696,-0.309552705995817
189,ENSMUSG00000020715,-0.594673898363145
190,ENSMUSG00000020732,0.408715761880195
196,ENSMUSG00000021054,-0.60884338898329
197,ENSMUSG00000021066,1.24586843239776
198,ENSMUSG00000021108,0.469362877148495
199,ENSMUSG00000021180,0.26946946843787
200,ENSMUSG00000021190,3.2361318276315703
201,ENSMUSG00000021193,-0.20258408960407603
202,ENSMUSG00000021194,2.18179622256431
203,ENSMUSG00000021196,-0.371064939173666
204,ENSMUSG00000021215,0.49155139922587393
205,ENSMUSG00000021228,-0.8234493622227679
206,ENSMUSG00000021262,1.0977141262844898
207,ENSMUSG00000021281,-0.5667098294087961
209,ENSMUSG00000021395,0.341552289309576
210,ENSMUSG00000021413,0.21494661112404898
212,ENSMUSG00000021420,-0.24780756024936498
216,ENSMUSG00000021540,0.21648221702209197
217,ENSMUSG00000021549,0.270421142558518
218,ENSMUSG00000021613,4.53850083230808
219,ENSMUSG00000021614,0.590166170475092
220,ENSMUSG00000021697,-0.336884606902518
222,ENSMUSG00000021701,1.4900216382543001
223,ENSMUSG00000021703,-0.366597041888364
224,ENSMUSG00000021719,1.30364214534106
226,ENSMUSG00000021730,1.6042922352331699
227,ENSMUSG00000021732,0.7053212727210091
229,ENSMUSG00000021807,0.210079367804543
230,ENSMUSG00000021831,-0.288742863731712
231,ENSMUSG00000021876,1.19064651478516
233,ENSMUSG00000021895,0.338923112621122
234,ENSMUSG00000021947,0.33137597400405894
236,ENSMUSG00000021959,0.648070851172763
238,ENSMUSG00000021990,0.326729705976683
239,ENSMUSG00000022010,0.48266242533835096
240,ENSMUSG00000022016,0.209342310982573
241,ENSMUSG00000022037,1.6675934121221299
242,ENSMUSG00000022074,-1.3388039036330301
243,ENSMUSG00000022102,0.469523379095
244,ENSMUSG00000022103,1.71672831101165
245,ENSMUSG00000022150,1.54806865707657
246,ENSMUSG00000022157,-0.44298064615709903
247,ENSMUSG00000022255,0.25470073972227597
248,ENSMUSG00000022263,0.370180454582261
252,ENSMUSG00000022353,0.42463055514532594
253,ENSMUSG00000022364,-0.265706220595887
254,ENSMUSG00000022422,-0.28195365468640904
257,ENSMUSG00000022489,0.39238548209384394
258,ENSMUSG00000022544,-0.305388467528818
259,ENSMUSG00000022555,-0.317482682145744
261,ENSMUSG00000022667,-0.4534871855831111
262,ENSMUSG00000022682,-0.24519702731547502
263,ENSMUSG00000022708,0.24779355787818697
265,ENSMUSG00000022747,2.2521818915294998
266,ENSMUSG00000022781,0.23701290978693101
270,ENSMUSG00000022817,-0.358000456961735
272,ENSMUSG00000022861,-0.415984248986317
273,ENSMUSG00000022864,0.391519455880435
275,ENSMUSG00000022964,-0.38943273819372104
276,ENSMUSG00000023022,-0.474170282043086
277,ENSMUSG00000023066,-0.32639242858336304
278,ENSMUSG00000023067,0.35724800189443
279,ENSMUSG00000023088,-0.34049751191207595
280,ENSMUSG00000023473,-0.7857387776056179
282,ENSMUSG00000023827,0.4192505386516421
283,ENSMUSG00000023905,-0.887873963472493
284,ENSMUSG00000023927,0.858083680281109
285,ENSMUSG00000023959,1.58908686436414
287,ENSMUSG00000024011,-0.592973047965219
288,ENSMUSG00000024052,0.23967653218717702
289,ENSMUSG00000024064,0.245906760242703
291,ENSMUSG00000024078,-0.21789035500368598
292,ENSMUSG00000024143,0.488412996278345
293,ENSMUSG00000024238,0.593138284502557
294,ENSMUSG00000024247,0.9203830453879499
296,ENSMUSG00000024299,0.38618667960365993
298,ENSMUSG00000024353,0.758614554662787
301,ENSMUSG00000024424,-0.48935092703079297
302,ENSMUSG00000024427,0.43933060739320895
305,ENSMUSG00000024481,1.52602688465014
306,ENSMUSG00000024521,-0.504924913908407
307,ENSMUSG00000024561,-0.221639333753935
308,ENSMUSG00000024613,-0.24900626386854
